timestamp,location,temperature,humidity,pressure,wind_speed,wind_deg,clouds,visibility,weather_description,uv_index,aqi,hour,day_of_week,month,aqi_lag_1
2024-12-15 01:20:58.619096,New York,1.34,42,1046,2.57,10,0,10000,clear sky,,2,1,6,12,2.0
2024-12-15 01:20:59.285973,Los Angeles,17.14,59,1023,4.63,260,0,10000,clear sky,,5,1,6,12,5.0
2024-12-15 01:41:26.632277,New York,1.27,42,1046,2.57,10,0,10000,clear sky,,3,1,6,12,2.0
2024-12-15 01:41:27.306157,Los Angeles,17.46,62,1022,4.63,260,0,10000,clear sky,,5,1,6,12,5.0
2024-12-15 01:46:31.214217,New York,1.27,42,1046,2.57,10,0,10000,clear sky,,3,1,6,12,3.0
2024-12-15 01:46:31.983992,Los Angeles,17.36,58,1022,4.63,260,0,10000,clear sky,,5,1,6,12,5.0
2024-12-15 02:07:09.582544,New York,0.99,43,1046,2.24,312,40,10000,scattered clouds,,3,2,6,12,3.0
2024-12-15 02:07:10.251196,Los Angeles,17.61,59,1022,3.09,220,0,10000,clear sky,,5,2,6,12,5.0
2024-12-15 02:12:57.405411,New York,0.95,43,1046,2.06,30,20,10000,few clouds,,3,2,6,12,3.0
2024-12-15 02:12:58.144539,Los Angeles,17.38,61,1022,5.14,180,0,10000,clear sky,,5,2,6,12,5.0
2024-12-15 10:44:31.059889,New York,-0.98,59,1045,4.47,94,0,10000,clear sky,,1,10,6,12,3.0
2024-12-15 10:44:31.803203,Los Angeles,11.78,86,1022,4.63,260,75,10000,broken clouds,,3,10,6,12,5.0
2024-12-15 10:50:12.895417,New York,-0.98,59,1045,4.47,94,0,10000,clear sky,,1,10,6,12,1.0
2024-12-15 10:50:13.558690,Los Angeles,11.78,86,1022,4.63,260,75,10000,broken clouds,,3,10,6,12,3.0
2024-12-15 10:53:32.075648,New York,-1.04,60,1045,4.92,111,0,10000,clear sky,,1,10,6,12,1.0
2024-12-15 10:53:32.723027,Los Angeles,11.78,86,1022,4.63,260,75,10000,broken clouds,,3,10,6,12,3.0
2024-12-15 10:54:33.150105,New York,-1.04,60,1045,4.92,111,0,10000,clear sky,,1,10,6,12,1.0
2024-12-15 10:54:33.832237,Los Angeles,11.72,86,1022,4.63,260,75,10000,broken clouds,,3,10,6,12,3.0
2024-12-15 10:56:18.629658,New York,-1.04,60,1045,4.92,111,0,10000,clear sky,,1,10,6,12,1.0
2024-12-15 10:56:19.285172,Los Angeles,11.72,86,1022,4.63,260,75,10000,broken clouds,,3,10,6,12,3.0
2024-12-15 10:58:38.799211,New York,-1.15,60,1045,4.92,111,0,10000,clear sky,,1,10,6,12,1.0
2024-12-15 10:58:39.449078,Los Angeles,11.72,86,1022,4.63,260,75,10000,broken clouds,,3,10,6,12,3.0
2024-12-15 11:01:49.878335,New York,-1.15,60,1045,4.92,111,0,10000,clear sky,,1,11,6,12,1.0
2024-12-15 11:01:52.753246,Los Angeles,11.72,86,1022,4.63,260,75,10000,broken clouds,,3,11,6,12,3.0
2024-12-15 11:04:17.782582,New York,-1.13,61,1045,4.47,83,34,10000,scattered clouds,,1,11,6,12,1.0
2024-12-15 11:04:18.895372,Los Angeles,11.72,86,1022,4.63,260,75,10000,broken clouds,,3,11,6,12,3.0
2024-12-15 11:12:58.618234,New York,-1.13,61,1045,4.47,83,34,10000,scattered clouds,,1,11,6,12,1.0
2024-12-15 11:12:59.270969,Los Angeles,11.43,87,1022,2.57,250,75,10000,broken clouds,,3,11,6,12,3.0
